EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Value_of_Employee,Overall_Sentiment,Importance_Level,Eligible_For_Hike,Recommended_Hike_pct,New_MonthlyIncome
69,35,0,1,1,1,2,1,6,1,1,2194,4,0,4,5,2,2,3,2,1,2,3.82,NEUTRAL,Not Valuable,No,0.0,2194.0
70,36,1,2,1,9,4,1,6,3,1,3388,0,1,1,2,0,2,1,0,0,0,6.21,NEUTRAL,Less Valuable,Yes,9.56,3711.8927999999996
71,59,0,1,2,1,1,0,7,3,2,5473,7,0,4,20,2,2,4,3,1,3,4.69,NEUTRAL,Not Valuable,No,0.0,5473.0
72,29,0,2,1,2,3,1,6,2,1,2703,0,0,4,6,3,3,5,4,0,4,5.87,NEUTRAL,Less Valuable,No,0.0,2703.0
73,31,0,2,1,1,3,1,6,2,2,2501,1,0,2,1,4,3,1,1,1,0,4.89,NEUTRAL,Not Valuable,No,0.0,2501.0
74,32,0,2,1,1,2,1,6,2,1,6220,1,0,2,10,3,3,10,4,0,9,4.97,NEUTRAL,Not Valuable,No,0.0,6220.0
75,36,0,2,1,6,2,0,2,4,1,3038,3,0,2,5,3,3,1,0,0,0,5.26,NEUTRAL,Not Valuable,No,0.0,3038.0
76,31,0,2,1,8,3,0,4,4,2,4424,1,0,4,11,2,3,11,7,1,8,7.05,NEUTRAL,Very Important,No,0.0,4424.0
77,35,0,2,2,1,3,1,7,1,2,4312,0,0,2,16,2,3,15,13,2,8,4.94,NEUTRAL,Not Valuable,No,0.0,4312.0
78,45,0,2,1,6,4,1,5,1,1,13245,4,1,2,17,3,4,0,0,0,0,7.3,NEUTRAL,Very Important,No,0.0,13245.0
79,37,0,2,1,7,1,1,5,3,2,13664,4,0,1,16,3,4,5,2,0,2,4.9,NEUTRAL,Not Valuable,No,0.0,13664.0
80,46,0,2,0,5,2,1,1,2,0,5021,8,1,4,16,2,3,4,2,0,2,7.1,NEUTRAL,Very Important,No,0.0,5021.0
81,30,0,2,1,1,4,1,2,4,1,5126,1,1,3,10,1,2,10,8,3,0,8.1,NEUTRAL,Very Important,No,0.0,5126.0
82,35,0,2,1,1,2,1,6,3,2,2859,1,0,1,6,3,3,6,4,0,4,4.57,NEUTRAL,Not Valuable,No,0.0,2859.0
83,55,0,2,2,1,1,1,7,4,1,10239,3,0,4,24,4,3,1,0,1,0,6.43,NEUTRAL,Less Valuable,No,0.0,10239.0
84,38,0,0,1,6,2,0,6,4,0,5329,7,1,4,17,3,3,13,11,1,9,7.35,NEUTRAL,Very Important,No,0.0,5329.0
85,34,0,2,1,1,1,1,4,2,1,4325,1,0,3,5,2,3,5,2,1,3,4.45,NEUTRAL,Not Valuable,No,0.0,4325.0
86,56,0,2,1,7,4,1,4,4,2,7260,4,0,1,37,3,2,6,4,0,2,6.18,NEUTRAL,Less Valuable,No,0.0,7260.0
87,23,0,2,2,2,3,1,8,1,0,2322,3,0,3,3,3,3,0,0,0,0,4.7,NEUTRAL,Not Valuable,No,0.0,2322.0
88,51,0,2,1,9,4,1,2,4,1,2075,3,0,2,10,4,3,4,2,0,3,6.47,NEUTRAL,Less Valuable,No,0.0,2075.0
89,30,0,2,1,2,3,1,0,4,1,4152,1,0,1,11,3,3,11,10,10,8,6.25,NEUTRAL,Less Valuable,No,0.0,4152.0
90,46,1,2,2,9,3,1,7,4,2,9619,1,0,4,9,3,3,9,8,4,7,7.44,NEUTRAL,Very Important,Yes,14.0,10965.660000000002
91,40,0,1,1,1,3,1,0,2,1,13503,1,0,4,22,3,2,22,3,11,11,6.55,NEUTRAL,Less Valuable,No,0.0,13503.0
92,51,0,2,2,21,3,1,7,4,2,5441,0,1,4,11,2,1,10,7,1,0,7.87,NEUTRAL,Very Important,No,0.0,5441.0
93,30,0,2,2,4,3,0,7,2,0,5209,1,1,2,11,4,2,11,8,2,7,6.94,NEUTRAL,Less Valuable,No,0.0,5209.0
94,46,0,1,1,1,3,1,0,1,1,10673,2,1,3,21,5,2,10,9,9,5,7.01,NEUTRAL,Very Important,No,0.0,10673.0
95,32,0,2,2,6,2,1,7,3,2,5010,1,0,1,12,0,3,11,8,5,7,4.73,NEUTRAL,Not Valuable,No,0.0,5010.0
96,54,0,2,1,2,1,0,5,3,1,13549,9,0,1,16,5,1,4,3,0,3,4.32,NEUTRAL,Not Valuable,No,0.0,13549.0
97,24,0,2,2,3,1,0,7,3,1,4999,0,0,1,4,2,2,3,2,0,2,3.65,NEUTRAL,Not Valuable,No,0.0,4999.0
98,28,0,0,2,4,2,1,7,3,1,4221,1,0,2,5,3,4,5,4,0,4,4.09,NEUTRAL,Not Valuable,No,0.0,4221.0
99,58,0,2,2,10,4,1,7,3,2,13872,0,0,3,38,1,2,37,10,1,8,7.22,NEUTRAL,Very Important,No,0.0,13872.0
100,44,0,0,1,23,2,1,2,2,1,2042,4,0,3,17,3,4,3,2,1,2,4.1,NEUTRAL,Not Valuable,No,0.0,2042.0
101,37,1,2,0,6,3,1,1,1,0,2073,4,1,4,7,3,3,3,2,0,2,6.97,NEUTRAL,Less Valuable,Yes,12.89,2340.2097
102,32,0,2,1,1,4,1,6,1,2,2956,1,0,4,1,2,3,1,0,0,0,5.46,NEUTRAL,Not Valuable,No,0.0,2956.0
103,20,1,1,1,6,4,0,2,4,2,2926,1,1,2,1,5,3,1,0,1,0,7.46,NEUTRAL,Very Important,Yes,17.03,3424.2978000000003
104,34,0,2,1,6,1,0,6,3,2,4809,1,0,3,16,3,3,16,13,2,10,5.65,NEUTRAL,Not Valuable,No,0.0,4809.0
105,37,0,0,1,2,3,1,0,4,0,5163,5,0,4,17,2,4,1,0,0,0,5.76,NEUTRAL,Less Valuable,No,0.0,5163.0
106,59,0,0,0,2,3,0,3,4,1,18844,9,0,4,30,3,3,3,2,2,2,6.52,NEUTRAL,Less Valuable,No,0.0,18844.0
107,50,0,1,1,1,1,0,5,2,1,18172,3,1,1,28,1,2,8,3,0,7,5.21,NEUTRAL,Not Valuable,No,0.0,18172.0
108,25,1,2,2,5,3,1,7,3,2,5744,1,1,4,6,1,3,6,4,0,3,7.82,NEUTRAL,Very Important,Yes,14.16,6557.350399999999
109,25,0,2,1,7,4,1,6,4,1,2889,1,0,3,2,2,3,2,2,2,1,6.55,NEUTRAL,Less Valuable,No,0.0,2889.0
110,22,0,2,1,15,2,0,2,4,2,2871,1,0,3,1,5,3,0,0,0,0,5.9,NEUTRAL,Less Valuable,No,0.0,2871.0
111,51,0,1,1,1,1,0,0,1,2,7484,3,0,3,23,1,2,13,12,12,8,4.09,NEUTRAL,Not Valuable,No,0.0,7484.0
112,34,1,1,1,7,1,1,2,3,2,6074,1,1,4,9,3,3,9,7,0,6,6.78,NEUTRAL,Less Valuable,Yes,9.83,6671.0742
113,54,0,0,0,26,4,0,3,4,2,17328,2,1,3,23,3,3,5,3,4,4,8.22,NEUTRAL,Very Important,No,0.0,17328.0
114,24,0,2,1,18,2,1,2,3,1,2774,0,0,3,6,2,3,5,3,1,2,5.27,NEUTRAL,Not Valuable,No,0.0,2774.0
115,34,0,2,1,6,3,0,6,2,0,4505,6,0,3,12,3,3,1,0,0,0,5.39,NEUTRAL,Not Valuable,No,0.0,4505.0
116,37,0,2,2,3,3,1,7,4,2,7428,2,0,1,12,3,3,5,3,1,3,5.74,NEUTRAL,Less Valuable,No,0.0,7428.0
117,34,0,2,1,5,3,0,3,1,2,11631,2,0,4,14,6,3,11,10,5,8,6.71,NEUTRAL,Less Valuable,No,0.0,11631.0
118,36,0,1,2,11,2,0,7,4,1,9738,0,0,3,10,6,3,9,7,2,8,6.3,NEUTRAL,Less Valuable,No,0.0,9738.0
119,36,0,2,1,3,1,0,2,4,0,2835,5,0,1,7,2,3,1,0,0,0,4.26,NEUTRAL,Not Valuable,No,0.0,2835.0
120,43,0,1,2,26,3,1,3,4,1,16959,1,1,4,25,3,4,25,12,4,12,9.66,NEUTRAL,Very Important,No,0.0,16959.0
121,30,0,1,1,23,1,1,6,3,0,2613,1,0,3,10,2,2,10,7,0,9,4.24,NEUTRAL,Not Valuable,No,0.0,2613.0
122,33,0,0,2,22,3,1,7,2,1,6146,0,0,1,8,2,4,7,7,0,7,3.76,NEUTRAL,Not Valuable,No,0.0,6146.0
123,56,1,2,1,14,2,0,6,2,1,4963,9,1,1,7,2,3,5,4,4,3,5.88,NEUTRAL,Less Valuable,Yes,10.46,5482.1298
124,51,0,2,1,6,1,1,5,3,2,19537,7,0,3,23,5,3,20,18,15,15,7.41,NEUTRAL,Very Important,No,0.0,19537.0
125,31,1,2,2,6,2,1,7,3,1,6172,4,1,2,12,3,2,7,7,7,7,7.05,NEUTRAL,Very Important,Yes,15.73,7142.8556
126,26,0,2,1,6,3,0,6,2,1,2368,1,0,3,5,3,2,5,4,4,3,5.25,NEUTRAL,Not Valuable,No,0.0,2368.0
127,58,1,2,1,23,4,0,0,4,1,10312,1,0,4,40,3,2,40,10,15,6,8.85,NEUTRAL,Very Important,Yes,19.0,12271.279999999999
128,19,1,2,2,22,4,1,8,3,2,1675,1,1,4,0,2,2,0,0,0,0,7.69,NEUTRAL,Very Important,Yes,16.8,1956.3999999999999
129,22,0,2,1,2,3,1,2,4,1,2523,0,0,3,3,2,3,2,1,2,1,6.1,NEUTRAL,Less Valuable,No,0.0,2523.0
130,49,0,2,1,20,3,0,4,1,1,6567,1,0,3,16,2,2,15,11,5,11,5.43,NEUTRAL,Not Valuable,No,0.0,6567.0
131,43,0,1,1,28,2,0,6,3,2,4739,4,0,4,18,2,3,3,2,1,2,5.32,NEUTRAL,Not Valuable,No,0.0,4739.0
132,50,0,1,2,12,3,0,7,4,2,9208,4,0,4,16,3,3,2,2,2,1,6.51,NEUTRAL,Less Valuable,No,0.0,9208.0
133,31,1,2,2,20,2,0,7,3,1,4559,3,1,3,4,2,3,2,2,2,2,7.0,NEUTRAL,Very Important,Yes,13.87,5191.3333
134,41,0,2,2,9,3,1,7,3,0,8189,3,1,3,12,2,3,9,7,0,7,7.88,NEUTRAL,Very Important,No,0.0,8189.0
135,26,0,2,0,25,3,0,1,3,1,2942,1,0,4,8,3,3,8,7,5,7,6.73,NEUTRAL,Less Valuable,No,0.0,2942.0
136,36,0,2,1,6,2,1,4,2,0,4941,6,0,4,7,0,3,3,2,0,1,4.98,NEUTRAL,Not Valuable,No,0.0,4941.0
137,51,1,1,1,8,1,1,4,4,2,10650,2,0,4,18,2,3,4,2,0,3,5.57,NEUTRAL,Not Valuable,No,0.0,10650.0
138,39,0,2,2,4,4,0,7,3,1,5902,4,0,3,17,1,4,15,11,5,9,7.16,NEUTRAL,Very Important,No,0.0,5902.0
139,25,0,2,2,28,1,1,7,3,1,8639,2,0,4,6,3,3,2,2,2,2,5.65,NEUTRAL,Not Valuable,No,0.0,8639.0
140,30,0,2,0,9,3,1,1,4,1,6347,0,1,4,12,2,1,11,9,4,7,8.33,NEUTRAL,Very Important,No,0.0,6347.0
141,32,1,2,1,9,1,0,2,1,2,4200,7,0,1,10,2,4,5,4,0,4,3.46,NEUTRAL,Not Valuable,No,0.0,4200.0
142,45,0,2,1,29,3,1,6,4,2,3452,5,0,2,9,2,2,6,5,0,3,5.53,NEUTRAL,Not Valuable,No,0.0,3452.0
143,38,0,2,1,3,4,0,6,3,2,4317,3,1,2,19,2,3,3,2,2,2,7.67,NEUTRAL,Very Important,No,0.0,4317.0
144,30,0,2,1,18,1,0,6,3,2,2632,1,0,3,5,4,2,5,4,0,4,4.82,NEUTRAL,Not Valuable,No,0.0,2632.0
145,32,0,1,2,9,4,1,7,4,0,4668,0,0,4,9,2,4,8,7,0,7,7.03,NEUTRAL,Very Important,No,0.0,4668.0
146,30,0,2,1,5,4,0,6,1,0,3204,5,0,4,8,3,3,3,2,2,2,5.89,NEUTRAL,Less Valuable,No,0.0,3204.0
147,30,0,2,1,2,2,1,2,4,2,2720,0,0,4,6,3,3,5,3,1,2,6.31,NEUTRAL,Less Valuable,No,0.0,2720.0
148,41,0,1,1,10,4,1,3,1,0,17181,4,0,2,21,2,2,7,6,7,7,5.16,NEUTRAL,Not Valuable,No,0.0,17181.0
149,41,0,2,1,9,3,1,2,1,1,2238,2,0,4,7,2,3,5,0,1,4,5.31,NEUTRAL,Not Valuable,No,0.0,2238.0
150,19,0,2,1,3,2,0,2,2,2,1483,1,0,4,1,3,3,1,0,0,0,5.1,NEUTRAL,Not Valuable,No,0.0,1483.0
151,40,0,1,1,26,2,0,6,2,0,5605,1,0,1,20,2,3,20,7,2,13,4.25,NEUTRAL,Not Valuable,No,0.0,5605.0
152,35,0,2,2,1,3,1,7,2,1,7295,1,0,1,10,3,3,10,8,0,6,4.91,NEUTRAL,Not Valuable,No,0.0,7295.0
153,53,0,2,2,6,2,1,8,3,1,2306,2,1,4,13,3,1,7,7,4,5,7.29,NEUTRAL,Very Important,No,0.0,2306.0
154,45,0,2,1,9,2,1,2,2,0,2348,8,0,3,20,2,1,17,9,0,15,4.99,NEUTRAL,Not Valuable,No,0.0,2348.0
155,32,0,1,2,8,2,0,7,4,2,8998,1,0,4,9,2,3,9,8,3,7,6.16,NEUTRAL,Less Valuable,No,0.0,8998.0
156,29,0,0,1,1,4,1,4,3,1,4319,1,0,1,10,1,3,10,7,0,9,4.3,NEUTRAL,Not Valuable,No,0.0,4319.0
157,51,0,2,1,7,2,1,4,3,1,6132,2,0,3,10,2,3,1,0,0,0,5.3,NEUTRAL,Not Valuable,No,0.0,6132.0
158,58,0,2,1,9,2,0,6,2,1,3346,4,1,2,9,3,2,1,0,0,0,5.79,NEUTRAL,Less Valuable,No,0.0,3346.0
159,40,0,2,2,4,3,1,7,4,1,10855,7,0,1,15,2,2,12,11,2,11,5.92,NEUTRAL,Less Valuable,No,0.0,10855.0
160,34,0,1,2,2,3,0,8,3,1,2231,6,0,4,6,3,3,4,3,1,2,5.64,NEUTRAL,Not Valuable,No,0.0,2231.0
161,22,0,2,1,19,3,1,6,4,1,2323,1,0,1,2,6,3,2,2,2,2,5.77,NEUTRAL,Less Valuable,No,0.0,2323.0
162,27,0,0,1,9,4,1,6,2,0,2024,6,0,4,6,1,1,2,2,2,2,4.18,NEUTRAL,Not Valuable,No,0.0,2024.0
163,28,0,2,1,21,3,1,6,4,1,2713,1,0,3,5,2,1,5,2,0,2,5.54,NEUTRAL,Not Valuable,No,0.0,2713.0
164,57,0,2,1,24,3,1,0,4,0,9439,3,1,2,12,2,1,5,3,1,4,7.26,NEUTRAL,Very Important,No,0.0,9439.0
165,27,0,0,1,3,3,1,6,3,0,2566,1,1,4,1,2,2,1,1,0,1,6.1,NEUTRAL,Less Valuable,No,0.0,2566.0
166,50,0,2,1,11,3,0,3,2,2,19926,3,0,2,21,5,3,5,4,4,4,6.32,NEUTRAL,Less Valuable,No,0.0,19926.0
167,41,0,2,1,14,1,1,6,3,0,2451,4,0,1,13,2,3,9,8,1,8,4.3,NEUTRAL,Not Valuable,No,0.0,2451.0
168,30,0,2,2,5,2,0,7,4,1,9419,2,0,3,12,2,3,10,9,7,4,6.48,NEUTRAL,Less Valuable,No,0.0,9419.0
169,38,0,2,2,1,1,0,7,4,2,8686,4,0,3,12,2,4,8,3,0,7,6.07,NEUTRAL,Less Valuable,No,0.0,8686.0
170,32,0,2,1,6,3,1,6,3,2,3038,3,0,1,8,2,3,5,4,1,4,4.95,NEUTRAL,Not Valuable,No,0.0,3038.0
171,27,0,2,1,17,3,1,6,2,1,3058,0,1,4,6,3,2,5,2,1,1,7.19,NEUTRAL,Very Important,No,0.0,3058.0
172,19,1,1,2,1,3,0,8,1,2,2325,0,0,1,1,5,4,0,0,0,0,3.73,NEUTRAL,Not Valuable,No,0.0,2325.0
173,36,0,1,1,3,4,1,2,2,2,2088,4,0,3,13,3,2,8,7,7,2,5.3,NEUTRAL,Not Valuable,No,0.0,2088.0
174,30,0,0,1,9,3,1,2,1,0,3072,1,0,3,12,4,3,12,9,6,10,4.52,NEUTRAL,Not Valuable,No,0.0,3072.0
175,45,0,2,2,4,3,0,7,1,0,5006,4,1,1,9,3,4,5,4,0,3,6.14,NEUTRAL,Less Valuable,No,0.0,5006.0
176,56,0,2,1,8,3,0,6,1,0,4257,4,1,3,19,3,3,2,2,2,2,6.86,NEUTRAL,Less Valuable,No,0.0,4257.0
177,33,0,2,1,2,3,1,6,4,2,2500,0,0,1,4,2,4,3,1,0,2,5.49,NEUTRAL,Not Valuable,No,0.0,2500.0
178,19,1,2,1,2,2,1,2,4,2,1102,1,0,3,1,3,2,1,0,1,0,5.32,NEUTRAL,Not Valuable,No,0.0,1102.0
179,46,0,2,2,1,2,0,7,1,0,10453,1,0,3,24,2,3,24,13,15,7,5.93,NEUTRAL,Less Valuable,No,0.0,10453.0
180,38,0,2,1,9,3,0,2,4,2,2288,1,0,3,2,3,3,2,2,2,1,6.21,NEUTRAL,Less Valuable,No,0.0,2288.0
